0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/JointState/MODE
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/JointTransform
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/JointTransformVector
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/JointsTrajectory
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Matrix2d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Matrix3d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Matrix4d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Matrix6d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/MatrixXd
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Pose
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Pressure
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Quaterniond
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Temperature
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Time
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Trajectory
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/TransformWithCovariance
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/TwistWithCovariance
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Vector2d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Vector3d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Vector4d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Vector6d
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/VectorXd
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Waypoint
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/Wrench
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/commands/LinearAngular6DCommand
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/commands/Motion2D
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/commands/Speed6D
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/geometry/Spline<1>
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/geometry/Spline<3>
0.050 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/samples/BodyState
0.051 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/samples/DepthMap
0.051 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /base/samples/DistanceImage
